path,hd_stage,hd_point,hd_room,decision,accepted,note,exact_stage,score,margin,reference_path,reference_slot,reference_label,reference_stage,reference_point,reference_room,runner_up_score,runner_up_path,runner_up_slot,runner_up_label
TP Saves (Cemu)/1.Dungeon (Forest Temple)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN05,0,22,curated,True,Forest Temple entrance,True,424,78,"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",0,Forest Temple,D_MN05,0,22,502,"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",1,Forest Temple 2
TP Saves (Cemu)/1.Dungeon (Forest Temple)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP108,200,6,curated,True,Forest Temple mid-dungeon,False,20606,10,"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",1,Forest Temple 2,D_MN05,0,22,611,"TP 100% Saves - NTSC-U 6.17.20/02 - S+S, Faron Twilight, EMS.gci",1,Faron Twilight
TP Saves (Cemu)/1.Dungeon (Forest Temple)/00050000/1019e600/user/80000001/ZTP02.dat,F_SP108,200,6,curated,True,Diababa boss,False,20544,9,"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",2,Diababa,D_MN05A,1,50,770,"TP 100% Saves - NTSC-U 6.17.20/02 - S+S, Faron Twilight, EMS.gci",2,Early Master Sword
TP Saves (Cemu)/2.Dungeon (Goron Mines)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN04,0,1,curated,True,Goron Mines entrance,True,1103,19621,"TP 100% Saves - NTSC-U 6.17.20/07 - KB2 skip, Coro TD, GM.gci",2,Goron Mines,D_MN04,0,1,20724,"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",0,Post Iron Boots
TP Saves (Cemu)/2.Dungeon (Goron Mines)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP110,6,3,curated,True,Dangoro mid-boss (TPGZ hundo practice save),False,21094,3,references/tpgz-hundo/dangoro.bin,0,dangoro,D_MN04B,0,51,20796,"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",2,Lakebed 1
TP Saves (Cemu)/2.Dungeon (Goron Mines)/00050000/1019e600/user/80000001/ZTP02.dat,D_MN04,0,1,curated,True,Fyrus boss (TPGZ hundo practice save),False,21177,19915,references/tpgz-hundo/fyrus.bin,0,fyrus,D_MN04A,0,50,20924,"TP 100% Saves - NTSC-U 6.17.20/06 - Lakebed 2, Lanayru, Post Lanayru.gci",0,Lakebed 2
TP Saves (Cemu)/3.Dungeon (Lakebed Temple)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN01,0,0,curated,True,Lakebed entrance,True,1416,16,"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",2,Lakebed 1,D_MN01,2,0,1350,"TP 100% Saves - NTSC-U 6.17.20/08 - Post GM, BK skip, MDH.gci",1,Lakebed Boss Key Skip
TP Saves (Cemu)/3.Dungeon (Lakebed Temple)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP115,133,0,curated,True,Deku Toad mid-boss,False,21791,1,Twilight Princess Any% Savefiles NTSC/5 PillarClip-Lakebed1-DekuToad.gci,2,Deku Toad (spawn in Bossroom),D_MN01B,0,51,1473,"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",1,Pillar Clip
TP Saves (Cemu)/3.Dungeon (Lakebed Temple)/00050000/1019e600/user/80000001/ZTP02.dat,F_SP115,133,0,curated,True,Morpheel boss,False,21935,139,Twilight Princess Any% Savefiles NTSC/8 FreezardSkip-LakebedBKSkip-Morpheel.gci,2,Morpheel (approach the hole to trigger Cutscene),D_MN01A,2,50,1581,"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",1,Pillar Clip
TP Saves (Cemu)/4.Dungeon (Arbiter’s Grounds)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN10,0,0,curated,True,Arbiter's Grounds entrance,True,2150,61,Twilight Princess Any% Savefiles NTSC/10 Arbiters1-Poe1Skip-DeathSword.gci,0,Arbiter's Ground Entrance,D_MN10,0,0,1825,"TP 100% Saves - NTSC-U 6.17.20/11 - AG2, Post AG, Gorge Arc.gci",0,Arbiter's Grounds 2
TP Saves (Cemu)/4.Dungeon (Arbiter’s Grounds)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP118,5,3,curated,True,Death Sword mid-boss,False,22220,19815,Twilight Princess Any% Savefiles NTSC/10 Arbiters1-Poe1Skip-DeathSword.gci,2,Death Sword (spawn in Bossroom),D_MN10B,0,51,21389,"TP 100% Saves - NTSC-U 6.17.20/08 - Post GM, BK skip, MDH.gci",2,Midna's Desperate Hour
TP Saves (Cemu)/4.Dungeon (Arbiter’s Grounds)/00050000/1019e600/user/80000001/ZTP02.dat,F_SP118,5,3,curated,True,Stallord boss,False,22261,19824,Twilight Princess Any% Savefiles NTSC/11 Arbiters2-Stallord-MirrorChamber.gci,1,Stallord,D_MN10A,0,50,21495,"TP 100% Saves - NTSC-U 6.17.20/08 - Post GM, BK skip, MDH.gci",2,Midna's Desperate Hour
TP Saves (Cemu)/5.Dungeon (Snowpeak Ruins)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN11,0,0,curated,True,Snowpeak Ruins entrance,True,1741,94,"TP 100% Saves - NTSC-U 6.17.20/12 - SPR1, SPR2, Bomb Boost.gci",0,Snowpeak Ruins 1,D_MN11,0,0,1835,"TP 100% Saves - NTSC-U 6.17.20/12 - SPR1, SPR2, Bomb Boost.gci",1,Snowpeak Ruins 2
TP Saves (Cemu)/5.Dungeon (Snowpeak Ruins)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP114,3,1,curated,True,Darkhammer mid-boss (TPGZ hundo practice save),False,21624,200,references/tpgz-hundo/darkhammer.bin,0,darkhammer,D_MN11B,3,51,2889,Twilight Princess Any% Savefiles NTSC/7 SP-MapGlitch-Cave-Snowpeak.gci,1,Cave (Transition after Howling Stone)
TP Saves (Cemu)/5.Dungeon (Snowpeak Ruins)/00050000/1019e600/user/80000001/ZTP02.dat,F_SP114,3,1,curated,True,Blizzeta boss (TPGZ hundo practice save),False,21639,449,references/tpgz-hundo/blizzeta.bin,0,blizzeta,D_MN11A,0,50,2989,Twilight Princess Any% Savefiles NTSC/7 SP-MapGlitch-Cave-Snowpeak.gci,1,Cave (Transition after Howling Stone)
TP Saves (Cemu)/6.Dungeon (Temple of Time)/00050000/1019e600/user/80000001/ZTP00.dat,F_SP117,3,2,curated,True,Temple of Time entrance,False,21644,111,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",0,Temple of Time,D_MN06,0,0,2050,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",2,Post Temple of Time
TP Saves (Cemu)/6.Dungeon (Temple of Time)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP117,100,1,curated,True,Temple of Time mid-dungeon,False,21865,111,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",1,Temple of Time 2,D_MN06,0,0,2079,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",2,Post Temple of Time
TP Saves (Cemu)/6.Dungeon (Temple of Time)/00050000/1019e600/user/80000001/ZTP02.dat,F_SP117,100,1,curated,True,Armogohma boss (derived from native TPGZ post-ToT state),False,21824,111,references/tpgz-hundo/armogohma-derived.bin,0,armogohma-derived,D_MN06A,0,50,1937,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",2,Post Temple of Time
TP Saves (Cemu)/7.Dungeon (City in the Sky)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN07,3,0,curated,True,City in the Sky entrance,True,1691,105,"TP 100% Saves - NTSC-U 6.17.20/15 - Ice Puzzle, HV1, City 1.gci",2,City in the Sky 1,D_MN07,3,0,1796,"TP 100% Saves - NTSC-U 6.17.20/16 - Aeralfos, City2, Argorok.gci",1,City in the Sky 2
TP Saves (Cemu)/7.Dungeon (City in the Sky)/00050000/1019e600/user/80000001/ZTP01.dat,D_MN07,3,0,curated,True,Aeralfos mid-boss,False,24296,105,Twilight Princess Any% Savefiles NTSC/12 EarlyCitS-CitS1-ArealfosSkip.gci,2,Areaflos Skip (spawn in fight),D_MN07B,2,51,1821,"TP 100% Saves - NTSC-U 6.17.20/16 - Aeralfos, City2, Argorok.gci",1,City in the Sky 2
TP Saves (Cemu)/7.Dungeon (City in the Sky)/00050000/1019e600/user/80000001/ZTP02.dat,D_MN07,3,0,curated,True,Argorok boss,False,24398,63,Twilight Princess Any% Savefiles NTSC/13 CitS2-FanTower-Argorok.gci,2,Argorok (spawn under Argorok before Vine Clawshot),D_MN07A,1,50,1903,"TP 100% Saves - NTSC-U 6.17.20/15 - Ice Puzzle, HV1, City 1.gci",2,City in the Sky 1
TP Saves (Cemu)/8.Dungeon (Palace of Twilight)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN08,0,0,curated,True,Palace of Twilight entrance,True,1918,139,"TP 100% Saves - NTSC-U 6.17.20/17 - Post City, Palace1, Palace2.gci",1,Palace of Twilight 1,D_MN08,0,0,1918,"TP 100% Saves - NTSC-U 6.17.20/17 - Post City, Palace1, Palace2.gci",1,Palace of Twilight 1
TP Saves (Cemu)/8.Dungeon (Palace of Twilight)/00050000/1019e600/user/80000001/ZTP01.dat,D_MN08,0,0,curated,True,Palace of Twilight after both Sols,True,1858,179,"TP 100% Saves - NTSC-U 6.17.20/17 - Post City, Palace1, Palace2.gci",2,Palace of Twilight 2,D_MN08,0,0,2037,"TP 100% Saves - NTSC-U 6.17.20/17 - Post City, Palace1, Palace2.gci",1,Palace of Twilight 1
TP Saves (Cemu)/8.Dungeon (Palace of Twilight)/00050000/1019e600/user/80000001/ZTP02.dat,D_MN08,0,0,curated,True,Zant boss,False,21877,180,"TP 100% Saves - NTSC-U 6.17.20/18 - Zant, CoO, Post CoO.gci",0,Zant fight,D_MN08A,0,10,2047,"TP 100% Saves - NTSC-U 6.17.20/17 - Post City, Palace1, Palace2.gci",1,Palace of Twilight 1
TP Saves (Cemu)/9.Dungeon (Hyrule Castle)/00050000/1019e600/user/80000001/ZTP00.dat,D_MN09,0,11,curated,True,Hyrule Castle entrance,True,1762,2,"TP 100% Saves - NTSC-U 6.17.20/19 - Cats, Hyrule, Beast Ganon.gci",1,Hyrule Castle,D_MN09,0,11,1762,"TP 100% Saves - NTSC-U 6.17.20/19 - Cats, Hyrule, Beast Ganon.gci",1,Hyrule Castle
TP Saves (Cemu)/9.Dungeon (Hyrule Castle)/00050000/1019e600/user/80000001/ZTP01.dat,D_MN09,0,11,curated,True,Hyrule Castle Darknut mid-boss (TPGZ hundo practice save),True,1784,2,references/tpgz-hundo/hc_darknut.bin,0,hc darknut,D_MN09,2,2,1786,"TP 100% Saves - NTSC-U 6.17.20/19 - Cats, Hyrule, Beast Ganon.gci",1,Hyrule Castle
TP Saves (Cemu)/9.Dungeon (Hyrule Castle)/00050000/1019e600/user/80000001/ZTP02.dat,D_MN09,0,11,curated,True,Puppet Zelda final-boss sequence,False,21792,2,"TP 100% Saves - NTSC-U 6.17.20/19 - Cats, Hyrule, Beast Ganon.gci",2,Puppet Zelda,D_MN09A,22,50,1790,"TP 100% Saves - NTSC-U 6.17.20/19 - Cats, Hyrule, Beast Ganon.gci",1,Hyrule Castle
TP Saves (Cemu)/Bonus (Hidden Village Quest)/00050000/1019e600/user/80000001/ZTP00.dat,F_SP128,0,0,curated,True,Hidden Village quest,True,1652,880,"TP 100% Saves - NTSC-U 6.17.20/15 - Ice Puzzle, HV1, City 1.gci",1,Hidden Village 1,F_SP128,0,0,2532,"TP 100% Saves - NTSC-U 6.17.20/19 - Cats, Hyrule, Beast Ganon.gci",0,Cats
TP Saves (Cemu)/Bonus (Hidden Village Quest)/00050000/1019e600/user/80000001/ZTP01.dat,F_SP117,100,1,curated,True,Temple of Time mid-dungeon,False,21865,111,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",1,Temple of Time 2,D_MN06,0,0,2079,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",2,Post Temple of Time
TP Saves (Cemu)/Bonus (Hidden Village Quest)/00050000/1019e600/user/80000001/ZTP02.dat,F_SP117,100,1,curated,True,Armogohma boss (derived from native TPGZ post-ToT state),False,21824,111,references/tpgz-hundo/armogohma-derived.bin,0,armogohma-derived,D_MN06A,0,50,1937,"TP 100% Saves - NTSC-U 6.17.20/13 - ToT1, ToT2, Post ToT.gci",2,Post Temple of Time
