start,end,size,confidence,kind,name,note,sample
0x0000,0x0001,0x2,observed,bytes,hd.header_or_slot_flags,Not present in GC status_a; 0x0001 in every current valid sample,00 01
0x0002,0x0003,0x2,observed,u16be,player.status_a.max_life,Sample value 0x0017,00 17
0x0004,0x0005,0x2,observed,u16be,player.status_a.life,Sample value 0x000c,00 0c
0x0006,0x0007,0x2,observed,u16be,player.status_a.rupees,Sample value 0x012b,01 2b
0x0008,0x0009,0x2,observed,u16be,player.status_a.max_oil,0x5460 in every current valid sample,54 60
0x000a,0x000b,0x2,observed,u16be,player.status_a.oil,Varies plausibly as lantern oil,42 e9
0x000c,0x000c,0x1,observed,u8,player.status_a.unknown10,Zero in every current valid sample; shifted equivalent of GC status_a unk10,00
0x000d,0x0010,0x4,observed,bytes,player.status_a.select_items,Shifted +2 from GC layout; 4 current item slots,01 0c 00 ff
0x0011,0x0014,0x4,observed,bytes,player.status_a.mix_items,Shifted +2 from GC layout,ff ff ff ff
0x0015,0x001a,0x6,observed,bytes,player.status_a.equipment,Shifted +2 from GC layout,2f 28 2a b4 ff 00
0x001b,0x001b,0x1,observed,u8,player.status_a.wallet_size,Values 0..3 across current samples,00
0x001c,0x001f,0x4,observed,bytes,player.status_a.magic,Shifted +2 from GC layout; all zero in current samples,00 00 00 00
0x0020,0x0020,0x1,observed,u8,player.status_a.transform_status,Sample has 1 for wolf/current transform; most saves 0,01
0x0021,0x0027,0x7,sample_zero,bytes,player.status_a.trailing_padding,Zero in current samples,00 00 00 00 00 00 00
0x0028,0x003f,0x18,observed,struct,player.status_b,,00 b4 b2 a9 e2 5a 5c b0 03 01 00 00 00 00 00 00 ... nonzero=10/24
0x0040,0x0057,0x18,observed,struct,player.horse_place,,41 af 63 41 c6 1c 40 00 c2 38 5d 40 00 00 46 5f ... nonzero=19/24
0x0058,0x0063,0xc,observed,struct,player.return_place,,46 5f 53 50 31 32 31 00 06 03 15 00
0x0064,0x007f,0x1c,observed,struct,player.field_last_stay,,c7 0e 30 00 43 96 00 00 c6 7f 78 00 c0 00 46 5f ... nonzero=20/28
0x0080,0x009b,0x1c,observed,struct,player.last_mark,,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ... nonzero=2/28
0x009c,0x00cb,0x30,observed,struct,player.items,,40 48 ff ff ff ff ff ff ff ff ff 6c 61 ff ff ff ... nonzero=47/48
