path,game_id,slot,label,checksum_ok,player_name,horse_name,return_stage,max_life,life,rupees,max_oil,oil,select_items,mix_items,equipment,wallet_size,transform,nonzero
"TP 100% Saves - NTSC-U 6.17.20/01 - Goats 1, Goats 2, Sewers.gci",GZ2E01,0,Goats 1,True,Taka,Honoka,F_SP00,15,12,3,0,0,ff ff ff ff,ff ff ff ff,2e ff ff ff ff 00,0,0,382
"TP 100% Saves - NTSC-U 6.17.20/01 - Goats 1, Goats 2, Sewers.gci",GZ2E01,1,Goats 2,True,Taka,Honoka,F_SP00,16,12,8,21600,18792,01 17 ff ff,ff ff ff ff,2e ff ff ff ff 00,0,0,472
"TP 100% Saves - NTSC-U 6.17.20/01 - Goats 1, Goats 2, Sewers.gci",GZ2E01,2,Sewers,True,Taka,Honoka,R_SP107,16,12,9,21600,18792,01 17 ff ff,ff ff ff ff,2e ff ff ff ff 00,0,1,218
"TP 100% Saves - NTSC-U 6.17.20/02 - S+S, Faron Twilight, EMS.gci",GZ2E01,0,Sword + Shield,True,Taka,Honoka,F_SP104,16,12,9,21600,18792,01 17 ff ff,ff ff ff ff,2f ff ff ff ff 00,0,1,449
"TP 100% Saves - NTSC-U 6.17.20/02 - S+S, Faron Twilight, EMS.gci",GZ2E01,1,Faron Twilight,True,Taka,Honoka,F_SP108,16,12,9,21600,18792,01 17 ff ff,ff ff ff ff,2f 28 2a ff ff 00,0,1,495
"TP 100% Saves - NTSC-U 6.17.20/02 - S+S, Faron Twilight, EMS.gci",GZ2E01,2,Early Master Sword,True,Taka,Honoka,F_SP108,16,12,9,21600,18792,01 17 ff ff,ff ff ff ff,2f 28 2a ff ff 00,0,1,256
"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",GZ2E01,0,Forest Temple,True,Taka,Honoka,D_MN05,16,12,21,21600,13901,01 17 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,493
"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",GZ2E01,1,Forest Temple 2,True,Taka,Honoka,D_MN05,16,12,21,21600,12208,01 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,552
"TP 100% Saves - NTSC-U 6.17.20/03 - FT, FT 2, Diababa.gci",GZ2E01,2,Diababa,True,Taka,Honoka,D_MN05A,18,12,21,21600,11661,01 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,299
"TP 100% Saves - NTSC-U 6.17.20/04 - Post FT, Eldin, Post Eldin.gci",GZ2E01,0,Post Forest Temple,True,Taka,Honoka,F_SP108,23,16,21,21600,11664,01 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,520
"TP 100% Saves - NTSC-U 6.17.20/04 - Post FT, Eldin, Post Eldin.gci",GZ2E01,1,Eldin Twilight,True,Taka,Honoka,F_SP109,23,16,21,21600,11664,01 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,1,579
"TP 100% Saves - NTSC-U 6.17.20/04 - Post FT, Eldin, Post Eldin.gci",GZ2E01,2,Post Eldin Twilight,True,Taka,Honoka,F_SP109,23,16,49,21600,11664,01 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,1,340
"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",GZ2E01,0,Post Iron Boots,True,Taka,Honoka,F_SP00,23,16,151,21600,11664,01 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,559
"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",GZ2E01,1,Pillar Clip,True,Taka,Honoka,F_SP115,25,20,151,21600,11664,03 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,614
"TP 100% Saves - NTSC-U 6.17.20/05 - Post IB, Pillar Clip, Lakebed.gci",GZ2E01,2,Lakebed 1,True,Taka,Honoka,D_MN01,25,20,151,21600,11664,03 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,353
"TP 100% Saves - NTSC-U 6.17.20/06 - Lakebed 2, Lanayru, Post Lanayru.gci",GZ2E01,0,Lakebed 2,True,Taka,Honoka,D_MN01,26,20,156,21600,11664,03 00 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,585
"TP 100% Saves - NTSC-U 6.17.20/06 - Lakebed 2, Lanayru, Post Lanayru.gci",GZ2E01,1,Lanayru Twilight,True,Taka,Honoka,F_SP115,26,20,156,21600,11664,03 12 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,1,662
"TP 100% Saves - NTSC-U 6.17.20/06 - Lakebed 2, Lanayru, Post Lanayru.gci",GZ2E01,2,Post Lanayru Twilight,True,Taka,Honoka,F_SP115,26,20,160,21600,11664,03 12 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,1,419
"TP 100% Saves - NTSC-U 6.17.20/07 - KB2 skip, Coro TD, GM.gci",GZ2E01,0,Bulblin 2 Skip,True,Taka,Honoka,R_SP116,27,20,60,21600,11078,00 09 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,644
"TP 100% Saves - NTSC-U 6.17.20/07 - KB2 skip, Coro TD, GM.gci",GZ2E01,1,Coro Text Displacement,True,Taka,Honoka,F_SP108,27,20,165,21600,11078,00 12 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,685
"TP 100% Saves - NTSC-U 6.17.20/07 - KB2 skip, Coro TD, GM.gci",GZ2E01,2,Goron Mines,True,Taka,Honoka,D_MN04,27,16,95,21600,11078,00 12 ff ff,ff ff ff ff,2f 29 2a ff ff 00,0,0,427
"TP 100% Saves - NTSC-U 6.17.20/08 - Post GM, BK skip, MDH.gci",GZ2E01,0,Post Goron Mines,True,Taka,Honoka,F_SP109,34,24,145,21600,11078,03 04 ff ff,ff ff ff ff,31 29 2a ff ff 00,0,0,674
