path,game_id,slot,label,checksum_ok,player_name,horse_name,return_stage,max_life,life,rupees,max_oil,oil,select_items,mix_items,equipment,wallet_size,transform,nonzero
Twilight Princess Any% Savefiles NTSC/1 Goats-Hugo-PurpleMist.gci,GZ2E01,0,Goats,True,Link,Epona,F_SP00,15,10,0,21600,20573,ff 01 ff ff,ff ff ff ff,2f 28 2c ff ff 00,0,0,365
Twilight Princess Any% Savefiles NTSC/1 Goats-Hugo-PurpleMist.gci,GZ2E01,1,Hugo,True,Link,Epona,F_SP104,15,12,1,21600,18047,ff 01 ff ff,ff ff ff ff,2f 28 2c ff ff 00,0,1,418
Twilight Princess Any% Savefiles NTSC/1 Goats-Hugo-PurpleMist.gci,GZ2E01,2,PurpleMist (Human),True,Link,Epona,F_SP108,15,12,1,21600,11854,01 ff ff ff,ff ff ff ff,2f 29 2c ff ff 00,0,0,414
Twilight Princess Any% Savefiles NTSC/10 Arbiters1-Poe1Skip-DeathSword.gci,GZ2E01,0,Arbiter's Ground Entrance,True,Link,Epona,D_MN10,21,16,230,21600,6906,09 01 ff ff,ff ff ff ff,2f 29 2c ff ff 00,0,0,625
Twilight Princess Any% Savefiles NTSC/10 Arbiters1-Poe1Skip-DeathSword.gci,GZ2E01,1,Poe 1 Skip,True,Link,Epona,D_MN10,21,14,235,21600,6107,10 00 ff ff,ff ff ff ff,2f 29 2c ff ff 00,0,0,681
Twilight Princess Any% Savefiles NTSC/10 Arbiters1-Poe1Skip-DeathSword.gci,GZ2E01,2,Death Sword (spawn in Bossroom),True,Link,Epona,D_MN10B,21,14,300,21600,6107,09 06 b2 ff,ff ff ff ff,2f 29 2c b2 ff 00,0,0,434
Twilight Princess Any% Savefiles NTSC/11 Arbiters2-Stallord-MirrorChamber.gci,GZ2E01,0,Arbiter2 (after Spinner),True,Link,Epona,D_MN10,21,16,300,21600,5338,02 00 b2 ff,ff ff ff ff,2f 29 2c b2 ff 00,0,0,657
Twilight Princess Any% Savefiles NTSC/11 Arbiters2-Stallord-MirrorChamber.gci,GZ2E01,1,Stallord,True,Link,Epona,D_MN10A,21,16,300,21600,5338,02 00 b2 ff,ff ff ff ff,2f 29 2c b2 ff 00,0,0,704
Twilight Princess Any% Savefiles NTSC/11 Arbiters2-Stallord-MirrorChamber.gci,GZ2E01,2,Mirror Chamber,True,Link,Epona,F_SP125,26,20,300,21600,5338,02 00 b2 ff,ff ff ff ff,2f 29 2c b2 ff 00,0,0,442
Twilight Princess Any% Savefiles NTSC/12 EarlyCitS-CitS1-ArealfosSkip.gci,GZ2E01,0,Early CitS (spawn in Basement),True,Link,Epona,R_SP209,26,20,300,21600,5338,09 00 b2 ff,ff ff ff ff,2f 29 2c b2 ff 00,0,0,662
Twilight Princess Any% Savefiles NTSC/12 EarlyCitS-CitS1-ArealfosSkip.gci,GZ2E01,1,CitS 1 (spawn after Cannon),True,Link,Epona,D_MN07,25,18,0,21600,15017,00 09 b2 ff,ff ff ff ff,2f 29 2c b2 ff 00,0,0,445
